OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
New Orleans Pelicans,0022500219,1610612757,Portland,Trail Blazers,POR,blazers,167:08,39,65,0.6,12,32,0.375,16,17,0.941,4,19,23,22,5,4,11,14,106,Starters,651.0,130.2,615.8,123.2,35.3,7.1,0.542,2.0,19.5,0.297,0.694,0.523,13.542,13.5,0.657,0.691,1.0,0.963,19.1,95.5,79.58,96.0,0.553,22025,1610612757,POR,Portland Trail Blazers,0022500219,2025-11-12,POR @ NOP,W,240,125,48,83,0.578,13,37,0.351,16,17,0.941,9,30,39,26,5,5,13,22,8.0
Houston Rockets,0022500042,1610612757,Portland,Trail Blazers,POR,blazers,148:17,28,61,0.459,9,27,0.333,14,20,0.7,12,21,33,13,3,1,17,10,79,Starters,580.0,116.0,693.1,138.6,-113.1,-22.6,0.429,0.9,13.1,0.377,0.6,0.491,20.0,20.0,0.545,0.575,1.0,1.0,20.1,100.5,83.75,100.0,0.369,22025,1610612757,POR,Portland Trail Blazers,0022500042,2025-11-14,POR @ HOU,L,240,116,42,89,0.472,13,36,0.361,19,27,0.704,16,28,44,18,4,2,20,18,-24.0
Dallas Mavericks,0022500238,1610612757,Portland,Trail Blazers,POR,blazers,185:26,40,96,0.417,12,38,0.316,26,30,0.867,17,19,36,20,2,4,10,23,118,Starters,593.8,118.8,616.1,123.2,-22.3,-4.5,0.565,2.17,15.4,0.443,0.647,0.529,10.714,10.7,0.469,0.523,1.0,0.965,20.29,101.43,84.53,112.0,0.431,22025,1610612757,POR,Portland Trail Blazers,0022500238,2025-11-16,POR @ DAL,L,266,133,46,113,0.407,14,47,0.298,27,32,0.844,22,31,53,26,8,5,11,32,-5.0
Phoenix Suns,0022500254,1610612757,Portland,Trail Blazers,POR,blazers,139:41,25,63,0.397,5,24,0.208,11,14,0.786,11,14,25,13,2,5,9,7,66,Starters,523.8,104.8,604.8,121.0,-81.0,-16.2,0.571,1.2,16.1,0.364,0.588,0.472,19.048,19.0,0.485,0.52,1.0,0.984,21.0,105.0,87.5,105.0,0.446,22025,1610612757,POR,Portland Trail Blazers,0022500254,2025-11-18,POR vs. PHX,L,238,110,42,97,0.433,10,41,0.244,16,20,0.8,15,28,43,24,7,6,19,12,-17.0
Chicago Bulls,0022500263,1610612757,Portland,Trail Blazers,POR,blazers,167:23,36,74,0.486,12,30,0.4,17,26,0.654,19,33,52,21,7,4,11,13,101,Starters,560.2,112.0,575.5,115.1,-15.3,-3.1,0.614,1.69,15.9,0.515,0.815,0.648,14.815,14.8,0.467,0.5,1.0,0.958,21.4,107.0,89.17,108.0,0.49,22025,1610612757,POR,Portland Trail Blazers,0022500263,2025-11-19,POR vs. CHI,L,241,121,44,107,0.411,12,42,0.286,21,32,0.656,26,38,64,27,10,5,15,16,-1.0
Golden State Warriors,0022500056,1610612757,Portland,Trail Blazers,POR,blazers,154:39,28,58,0.483,10,28,0.357,22,26,0.846,13,15,28,22,4,2,14,14,88,Starters,622.5,124.5,608.9,121.8,13.6,2.7,0.738,1.48,19.5,0.52,0.75,0.628,20.588,20.6,0.568,0.622,1.0,0.953,20.3,101.5,84.58,102.0,0.508,22025,1610612757,POR,Portland Trail Blazers,0022500056,2025-11-21,POR @ GSW,W,241,127,42,88,0.477,16,45,0.356,27,32,0.844,21,31,52,31,8,5,20,25,4.0
Oklahoma City Thunder,0022500280,1610612757,Portland,Trail Blazers,POR,blazers,121:11,17,42,0.405,7,22,0.318,10,14,0.714,9,15,24,11,4,3,10,13,51,Starters,489.7,97.9,628.9,125.8,-139.2,-27.8,0.529,1.06,13.0,0.359,0.698,0.495,17.526,17.5,0.435,0.469,1.0,0.967,19.4,97.0,80.83,97.0,0.319,22025,1610612757,POR,Portland Trail Blazers,0022500280,2025-11-23,POR @ OKC,L,241,95,34,92,0.37,12,47,0.255,15,21,0.714,16,29,45,18,8,4,16,19,-27.0
Milwaukee Bucks,0022500288,1610612757,Portland,Trail Blazers,POR,blazers,149:22,25,54,0.463,14,29,0.483,23,31,0.742,5,22,27,18,4,4,10,7,87,Starters,580.8,116.2,520.2,104.0,60.6,12.1,0.667,1.5,17.5,0.292,0.784,0.545,16.162,16.2,0.57,0.615,1.0,0.956,19.8,99.0,82.5,99.0,0.574,22025,1610612757,POR,Portland Trail Blazers,0022500288,2025-11-24,POR @ MIL,W,240,115,36,79,0.456,18,43,0.419,25,33,0.758,12,36,48,24,8,8,14,16,12.0
San Antonio Spurs,0022500067,1610612757,Portland,Trail Blazers,POR,blazers,146:52,25,62,0.403,7,27,0.259,15,22,0.682,10,18,28,14,1,3,12,16,72,Starters,505.0,101.0,563.7,112.7,-58.8,-11.8,0.568,1.17,15.0,0.333,0.613,0.479,17.822,17.8,0.477,0.509,1.0,0.983,20.3,101.5,84.58,101.0,0.417,22025,1610612757,POR,Portland Trail Blazers,0022500067,2025-11-26,POR vs. SAS,L,240,102,37,87,0.425,9,36,0.25,19,30,0.633,12,36,48,21,3,9,18,22,-13.0
Oklahoma City Thunder,0022500305,1610612757,Portland,Trail Blazers,POR,blazers,165:33,24,58,0.414,12,33,0.364,26,31,0.839,10,28,38,19,3,4,10,10,86,Starters,532.4,106.5,569.4,113.9,-37.0,-7.4,0.629,1.57,15.4,0.254,0.745,0.482,12.963,13.0,0.483,0.546,1.0,0.992,21.6,108.0,90.0,108.0,0.45,22025,1610612757,POR,Portland Trail Blazers,0022500305,2025-11-30,POR vs. OKC,L,238,115,35,89,0.393,16,49,0.327,29,37,0.784,13,36,49,22,8,5,14,22,-8.0
