OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Milwaukee Bucks,0022500213,1610612766,Charlotte,Hornets,CHA,hornets,154:54,26,59,0.441,6,24,0.25,15,17,0.882,5,23,28,16,4,3,9,8,73,Starters,590.4,118.1,537.6,107.5,52.8,10.6,0.711,1.69,18.6,0.49,0.776,0.63,17.021,17.0,0.512,0.567,1.0,0.949,18.7,93.5,77.92,94.0,0.559,22025,1610612766,CHA,Charlotte Hornets,0022500213,2025-11-12,CHA vs. MIL,W,240,111,38,86,0.442,12,40,0.3,23,27,0.852,15,35,50,27,5,5,13,15,11.0
Milwaukee Bucks,0022500043,1610612766,Charlotte,Hornets,CHA,hornets,196:15,38,77,0.494,14,37,0.378,17,21,0.81,9,22,31,19,9,1,8,17,107,Starters,598.2,119.6,674.3,134.9,-76.1,-15.2,0.66,2.38,19.4,0.321,0.853,0.529,11.607,11.6,0.566,0.605,1.0,0.953,20.02,100.08,83.4,112.0,0.443,22025,1610612766,CHA,Charlotte Hornets,0022500043,2025-11-14,CHA @ MIL,L,264,134,47,98,0.48,17,45,0.378,23,29,0.793,10,29,39,31,11,1,13,21,-13.0
Oklahoma City Thunder,0022500229,1610612766,Charlotte,Hornets,CHA,hornets,139:01,19,52,0.365,9,25,0.36,5,6,0.833,5,16,21,11,2,3,8,6,52,Starters,500.0,100.0,567.7,113.5,-67.7,-13.5,0.622,1.53,16.7,0.339,0.702,0.5,15.625,15.6,0.469,0.484,1.0,0.965,19.2,96.0,80.0,96.0,0.405,22025,1610612766,CHA,Charlotte Hornets,0022500229,2025-11-15,CHA vs. OKC,L,240,96,37,96,0.385,16,42,0.381,6,7,0.857,12,30,42,23,6,5,12,10,-13.0
Toronto Raptors,0022500245,1610612766,Charlotte,Hornets,CHA,hornets,155:11,26,64,0.406,8,30,0.267,13,15,0.867,10,25,35,14,8,4,14,10,73,Starters,519.2,103.8,539.2,107.8,-20.0,-4.0,0.514,1.19,13.5,0.327,0.804,0.545,15.385,15.4,0.483,0.539,1.0,0.959,20.6,103.0,85.83,104.0,0.495,22025,1610612766,CHA,Charlotte Hornets,0022500245,2025-11-17,CHA @ TOR,L,240,108,37,87,0.425,10,40,0.25,24,30,0.8,14,34,48,19,11,9,16,14,-2.0
Indiana Pacers,0022500256,1610612766,Charlotte,Hornets,CHA,hornets,152:34,29,70,0.414,10,32,0.313,14,16,0.875,15,16,31,19,4,2,9,11,82,Starters,590.0,118.0,635.0,127.0,-45.0,-9.0,0.651,2.15,17.7,0.477,0.714,0.57,13.0,13.0,0.463,0.506,1.0,0.985,20.0,100.0,83.33,100.0,0.427,22025,1610612766,CHA,Charlotte Hornets,0022500256,2025-11-19,CHA @ IND,L,239,118,43,107,0.402,13,45,0.289,19,22,0.864,22,26,48,28,7,2,12,18,-9.0
Los Angeles Clippers,0022500268,1610612766,Charlotte,Hornets,CHA,hornets,125:51,30,58,0.517,9,28,0.321,17,18,0.944,2,9,11,14,2,2,5,13,86,Starters,604.2,120.8,675.3,135.1,-71.1,-14.2,0.585,2.18,17.9,0.304,0.609,0.457,11.458,11.5,0.547,0.601,1.0,0.964,19.3,96.5,80.42,96.0,0.439,22025,1610612766,CHA,Charlotte Hornets,0022500268,2025-11-22,CHA vs. LAC,L,240,116,41,85,0.482,11,36,0.306,23,26,0.885,11,27,38,24,5,2,10,20,-15.0
Atlanta Hawks,0022500276,1610612766,Charlotte,Hornets,CHA,hornets,161:00,30,63,0.476,10,30,0.333,14,16,0.875,3,22,25,21,2,2,9,10,84,Starters,578.9,115.8,594.7,118.9,-15.8,-3.2,0.667,1.63,18.8,0.362,0.714,0.542,16.842,16.8,0.535,0.58,1.0,0.973,19.0,95.0,79.17,95.0,0.485,22025,1610612766,CHA,Charlotte Hornets,0022500276,2025-11-23,CHA @ ATL,L,239,110,39,86,0.453,14,44,0.318,18,20,0.9,9,34,43,26,4,2,15,15,-3.0
New York Knicks,0022500061,1610612766,Charlotte,Hornets,CHA,hornets,145:47,21,57,0.368,9,29,0.31,9,14,0.643,6,18,24,10,4,0,14,8,60,Starters,520.6,104.1,658.2,131.6,-137.5,-27.5,0.429,0.88,11.8,0.291,0.675,0.453,17.526,17.5,0.488,0.528,1.0,0.991,19.5,97.5,81.25,97.0,0.332,22025,1610612766,CHA,Charlotte Hornets,0022500061,2025-11-26,CHA vs. NYK,L,241,101,35,85,0.412,13,43,0.302,18,24,0.75,9,26,35,15,5,3,17,16,-28.0
Chicago Bulls,0022500071,1610612766,Charlotte,Hornets,CHA,hornets,157:25,31,71,0.437,11,35,0.314,11,15,0.733,5,25,30,20,3,8,8,11,84,Starters,574.8,115.0,547.2,109.4,27.6,5.5,0.636,2.0,18.7,0.296,0.755,0.523,13.084,13.1,0.531,0.572,1.0,0.967,21.3,106.5,88.75,107.0,0.506,22025,1610612766,CHA,Charlotte Hornets,0022500071,2025-11-28,CHA vs. CHI,W,241,123,44,97,0.454,15,45,0.333,20,24,0.833,10,36,46,28,6,10,12,19,7.0
Toronto Raptors,0022500294,1610612766,Charlotte,Hornets,CHA,hornets,147:25,28,66,0.424,7,27,0.259,21,23,0.913,4,15,19,14,4,3,5,12,84,Starters,590.0,118.0,549.5,109.9,40.5,8.1,0.585,2.67,17.1,0.315,0.545,0.431,9.0,9.0,0.495,0.558,1.0,0.991,18.2,91.02,75.85,100.0,0.521,22025,1610612766,CHA,Charlotte Hornets,0022500294,2025-11-29,CHA vs. TOR,W,264,118,41,93,0.441,10,39,0.256,26,29,0.897,12,27,39,24,10,5,9,19,7.0
