OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Dallas Mavericks,22500203,1610612749,Milwaukee,Bucks,MIL,bucks,152:04,24,56,0.429,9,24,0.375,16,21,0.762,4,22,26,19,6,6,8,19,73,Starters,557.7,111.5,548.1,109.6,9.6,1.9,0.585,1.85,17.0,0.25,0.638,0.455,12.5,12.5,0.527,0.569,1.0,0.983,20.8,104.0,86.67,104.0,0.505,22025,1610612749,MIL,Milwaukee Bucks,0022500203,2025-11-10,MIL @ DAL,W,240,116,41,91,0.451,14,36,0.389,20,25,0.8,8,36,44,24,9,6,13,26,2.0
Charlotte Hornets,22500213,1610612749,Milwaukee,Bucks,MIL,bucks,146:29,22,50,0.44,8,21,0.381,7,11,0.636,5,9,14,18,5,3,5,11,59,Starters,537.6,107.5,590.4,118.1,-52.8,-10.6,0.725,3.22,21.8,0.224,0.51,0.37,9.677,9.7,0.523,0.534,1.0,0.99,18.7,93.5,77.92,93.0,0.441,22025,1610612749,MIL,Milwaukee Bucks,0022500213,2025-11-12,MIL @ CHA,L,241,100,40,88,0.455,12,30,0.4,8,13,0.615,10,24,34,29,6,6,9,22,-11.0
Charlotte Hornets,22500043,1610612749,Milwaukee,Bucks,MIL,bucks,172:14,39,60,0.65,14,23,0.609,13,17,0.765,2,26,28,30,6,2,12,15,105,Starters,674.3,134.9,598.2,119.6,76.1,15.2,0.673,1.68,24.5,0.147,0.679,0.471,20.183,20.2,0.765,0.776,1.0,1.0,20.02,100.08,83.4,109.0,0.557,22025,1610612749,MIL,Milwaukee Bucks,0022500043,2025-11-14,MIL vs. CHA,W,264,147,55,85,0.647,20,34,0.588,17,22,0.773,5,34,39,37,10,3,22,25,13.0
Los Angeles Lakers,22500231,1610612749,Milwaukee,Bucks,MIL,bucks,133:42,19,46,0.413,7,21,0.333,16,24,0.667,6,17,23,9,2,2,11,13,61,Starters,479.8,96.0,613.4,122.7,-133.6,-26.7,0.625,1.18,14.9,0.288,0.692,0.462,17.172,17.2,0.494,0.525,1.0,0.956,19.6,98.0,81.67,99.0,0.334,22025,1610612749,MIL,Milwaukee Bucks,0022500231,2025-11-15,MIL vs. LAL,L,241,95,32,80,0.4,15,39,0.385,16,24,0.667,12,27,39,20,6,4,17,23,-24.0
Cleveland Cavaliers,22500241,1610612749,Milwaukee,Bucks,MIL,bucks,143:34,27,63,0.429,14,26,0.538,7,9,0.778,5,18,23,17,7,1,10,13,75,Starters,524.8,105.0,584.2,116.8,-59.4,-11.9,0.667,1.73,18.4,0.263,0.789,0.474,14.851,14.9,0.511,0.532,1.0,0.983,20.2,101.0,84.17,101.0,0.407,22025,1610612749,MIL,Milwaukee Bucks,0022500241,2025-11-17,MIL @ CLE,L,240,106,39,93,0.419,17,36,0.472,11,15,0.733,7,27,34,26,9,1,14,17,-12.0
Philadelphia 76ers,22500266,1610612749,Milwaukee,Bucks,MIL,bucks,169:58,36,72,0.5,9,26,0.346,10,13,0.769,3,30,33,19,5,1,8,13,91,Starters,522.9,104.6,569.4,113.9,-46.5,-9.3,0.667,2.14,20.4,0.16,0.737,0.467,12.844,12.8,0.565,0.583,1.0,0.957,19.65,98.26,81.89,109.0,0.472,22025,1610612749,MIL,Milwaukee Bucks,0022500266,2025-11-20,MIL vs. PHI,L,265,114,45,92,0.489,14,36,0.389,10,13,0.769,3,39,42,30,7,2,14,19,-9.0
Detroit Pistons,22500272,1610612749,Milwaukee,Bucks,MIL,bucks,133:46,30,61,0.492,15,31,0.484,6,7,0.857,4,17,21,15,2,4,5,9,81,Starters,580.0,116.0,651.5,130.3,-71.5,-14.3,0.674,1.71,20.9,0.233,0.939,0.539,17.0,17.0,0.631,0.65,1.0,0.945,19.9,99.5,82.92,100.0,0.447,22025,1610612749,MIL,Milwaukee Bucks,0022500272,2025-11-22,MIL vs. DET,L,239,116,43,84,0.512,20,43,0.465,10,12,0.833,6,29,35,29,8,7,15,19,-13.0
Portland Trail Blazers,22500288,1610612749,Milwaukee,Bucks,MIL,bucks,125:33,15,42,0.357,5,18,0.278,9,12,0.75,5,20,25,8,2,4,6,13,44,Starters,520.2,104.0,580.8,116.2,-60.6,-12.1,0.579,1.69,16.7,0.216,0.708,0.455,13.131,13.1,0.517,0.548,1.0,0.973,19.8,99.0,82.5,99.0,0.426,22025,1610612749,MIL,Milwaukee Bucks,0022500288,2025-11-24,MIL vs. POR,L,238,103,38,86,0.442,13,37,0.351,14,18,0.778,8,31,39,22,10,5,13,26,-12.0
Miami Heat,22500062,1610612749,Milwaukee,Bucks,MIL,bucks,172:40,33,70,0.471,14,37,0.378,5,9,0.556,5,28,33,23,5,1,8,9,85,Starters,515.0,103.0,519.6,103.9,-4.6,-0.9,0.775,2.21,21.2,0.263,0.787,0.5,14.0,14.0,0.495,0.509,1.0,0.991,20.2,101.0,84.17,100.0,0.437,22025,1610612749,MIL,Milwaukee Bucks,0022500062,2025-11-26,MIL @ MIA,L,240,103,40,95,0.421,14,42,0.333,9,14,0.643,11,36,47,31,7,1,13,15,-3.0
New York Knicks,22500074,1610612749,Milwaukee,Bucks,MIL,bucks,163:40,24,50,0.48,12,30,0.4,14,18,0.778,5,23,28,17,6,4,8,19,74,Starters,586.0,117.2,627.7,125.5,-41.6,-8.3,0.649,1.6,19.5,0.154,0.6,0.404,16.129,16.1,0.648,0.665,1.0,0.98,18.7,93.5,77.92,93.0,0.469,22025,1610612749,MIL,Milwaukee Bucks,0022500074,2025-11-28,MIL @ NYK,L,240,109,37,71,0.521,18,41,0.439,17,25,0.68,5,30,35,24,9,4,15,26,-9.0
