OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Detroit Pistons,0022500199,1610612764,Washington,Wizards,WAS,wizards,159:06,33,68,0.485,8,25,0.32,13,16,0.813,7,25,32,17,5,3,13,17,87,Starters,581.9,116.4,595.7,119.1,-13.8,-2.8,0.52,1.3,16.9,0.245,0.528,0.413,17.241,17.2,0.605,0.634,1.0,0.977,20.92,104.6,87.17,116.0,0.485,22025,1610612764,WAS,Washington Wizards,0022500199,2025-11-10,WAS @ DET,L,264,135,50,95,0.526,15,38,0.395,20,26,0.769,11,35,46,26,10,6,20,28,-2.0
Houston Rockets,0022500218,1610612764,Washington,Wizards,WAS,wizards,147:06,26,59,0.441,11,25,0.44,7,11,0.636,6,17,23,20,4,4,8,13,70,Starters,560.0,112.0,681.8,136.4,-121.8,-24.4,0.595,2.08,18.2,0.264,0.592,0.422,12.0,12.0,0.538,0.558,1.0,0.991,19.9,99.5,82.92,100.0,0.382,22025,1610612764,WAS,Washington Wizards,0022500218,2025-11-12,WAS @ HOU,L,238,112,42,92,0.457,15,38,0.395,13,19,0.684,12,25,37,25,6,5,12,22,-23.0
Brooklyn Nets,0022500235,1610612764,Washington,Wizards,WAS,wizards,141:56,25,53,0.472,10,23,0.435,15,16,0.938,2,17,19,15,5,2,6,18,75,Starters,540.8,108.2,651.5,130.3,-110.7,-22.1,0.568,1.75,16.5,0.163,0.732,0.422,12.245,12.2,0.512,0.566,1.0,0.972,19.7,98.5,82.08,98.0,0.379,22025,1610612764,WAS,Washington Wizards,0022500235,2025-11-16,WAS vs. BKN,L,241,106,37,84,0.44,12,34,0.353,20,22,0.909,3,30,33,21,7,3,10,25,-23.0
Minnesota Timberwolves,0022500259,1610612764,Washington,Wizards,WAS,wizards,155:40,31,59,0.525,9,18,0.5,5,8,0.625,8,21,29,20,4,5,9,13,76,Starters,561.9,112.4,612.2,122.4,-50.4,-10.1,0.581,1.47,18.4,0.298,0.589,0.456,17.526,17.5,0.568,0.584,1.0,0.982,19.5,97.5,81.25,97.0,0.435,22025,1610612764,WAS,Washington Wizards,0022500259,2025-11-19,WAS @ MIN,L,240,109,43,88,0.489,14,32,0.438,9,12,0.75,12,31,43,25,6,6,17,26,-11.0
Toronto Raptors,0022500050,1610612764,Washington,Wizards,WAS,wizards,122:08,14,40,0.35,3,21,0.143,9,11,0.818,3,11,14,14,4,3,12,9,40,Starters,528.8,105.8,666.7,133.3,-137.8,-27.6,0.667,1.44,18.3,0.245,0.65,0.427,17.308,17.3,0.523,0.57,1.0,0.983,20.91,104.54,87.11,104.0,0.347,22025,1610612764,WAS,Washington Wizards,0022500050,2025-11-21,WAS @ TOR,L,239,110,39,86,0.453,12,41,0.293,20,24,0.833,7,22,29,26,9,4,17,22,-30.0
Chicago Bulls,0022500271,1610612764,Washington,Wizards,WAS,wizards,152:50,28,63,0.444,10,21,0.476,12,15,0.8,9,23,32,22,5,1,8,14,78,Starters,571.4,114.3,570.8,114.2,0.7,0.1,0.75,2.2,21.6,0.273,0.672,0.483,14.286,14.3,0.542,0.573,1.0,0.992,21.1,105.5,87.92,105.0,0.512,22025,1610612764,WAS,Washington Wizards,0022500271,2025-11-22,WAS @ CHI,L,241,120,44,96,0.458,16,36,0.444,16,20,0.8,15,40,55,33,9,4,15,23,-1.0
Atlanta Hawks,0022500057,1610612764,Washington,Wizards,WAS,wizards,164:17,39,65,0.6,16,27,0.593,17,26,0.654,5,24,29,21,9,5,6,12,111,Starters,640.8,128.2,548.5,109.7,92.2,18.4,0.625,2.31,21.1,0.22,0.642,0.457,12.621,12.6,0.685,0.692,1.0,0.964,20.6,103.0,85.83,103.0,0.584,22025,1610612764,WAS,Washington Wizards,0022500057,2025-11-25,WAS vs. ATL,W,240,132,48,84,0.571,19,38,0.5,17,26,0.654,6,30,36,30,13,8,12,19,19.0
Indiana Pacers,0022500073,1610612764,Washington,Wizards,WAS,wizards,145:19,25,57,0.439,5,18,0.278,8,14,0.571,4,19,23,13,5,4,11,12,63,Starters,425.7,85.1,595.0,119.0,-169.3,-33.9,0.545,1.06,13.6,0.255,0.681,0.451,16.832,16.8,0.435,0.463,1.0,0.974,20.1,100.5,83.75,101.0,0.317,22025,1610612764,WAS,Washington Wizards,0022500073,2025-11-28,WAS @ IND,L,242,86,33,84,0.393,7,32,0.219,13,20,0.65,11,31,42,18,6,7,17,17,-33.0
Milwaukee Bucks,0022500311,1610612764,Washington,Wizards,WAS,wizards,159:45,34,67,0.507,10,25,0.4,3,7,0.429,6,18,24,19,6,2,8,12,81,Starters,632.4,126.5,623.8,124.8,8.6,1.7,0.547,2.9,19.5,0.353,0.705,0.516,9.804,9.8,0.583,0.594,1.0,0.975,20.3,101.5,84.58,102.0,0.516,22025,1610612764,WAS,Washington Wizards,0022500311,2025-12-01,WAS vs. MIL,W,240,129,53,102,0.52,13,36,0.361,10,15,0.667,14,27,41,29,9,4,10,17,3.0
Philadelphia 76ers,0022500318,1610612764,Washington,Wizards,WAS,wizards,132:21,15,45,0.333,5,22,0.227,14,15,0.933,9,22,31,13,2,9,7,9,49,Starters,490.4,98.1,593.1,118.6,-102.8,-20.6,0.657,1.53,16.0,0.31,0.69,0.5,14.423,14.4,0.449,0.5,1.0,0.975,20.6,103.0,85.83,104.0,0.438,22025,1610612764,WAS,Washington Wizards,0022500318,2025-12-02,WAS @ PHI,L,240,102,35,88,0.398,9,36,0.25,23,32,0.719,16,37,53,23,5,11,15,15,-19.0
Boston Celtics,0022500334,1610612764,Washington,Wizards,WAS,wizards,128:14,22,43,0.512,7,15,0.467,9,12,0.75,5,11,16,11,3,1,11,12,60,Starters,510.1,102.0,752.6,150.5,-242.5,-48.5,0.6,1.17,15.2,0.346,0.565,0.449,18.182,18.2,0.476,0.532,1.0,0.966,19.6,98.0,81.67,99.0,0.296,22025,1610612764,WAS,Washington Wizards,0022500334,2025-12-04,WAS vs. BOS,L,240,101,35,84,0.417,10,31,0.323,21,25,0.84,12,25,37,21,5,4,18,22,-45.0
Atlanta Hawks,0022500351,1610612764,Washington,Wizards,WAS,wizards,160:25,28,48,0.583,15,26,0.577,8,10,0.8,2,14,16,24,6,5,13,14,79,Starters,574.3,114.9,642.2,128.4,-67.9,-13.6,0.707,1.45,21.2,0.171,0.574,0.386,19.802,19.8,0.619,0.656,1.0,0.991,20.3,101.5,84.58,101.0,0.409,22025,1610612764,WAS,Washington Wizards,0022500351,2025-12-06,WAS vs. ATL,L,240,116,41,80,0.513,17,38,0.447,17,19,0.895,4,22,26,29,6,5,20,18,-15.0
Cleveland Cavaliers,0022501212,1610612764,Washington,Wizards,WAS,wizards,155:39,31,64,0.484,13,34,0.382,12,17,0.706,6,26,32,22,4,1,8,15,87,Starters,600.0,120.0,625.0,125.0,-25.0,-5.0,0.69,1.81,19.5,0.306,0.695,0.519,15.238,15.2,0.581,0.629,1.0,0.958,20.9,104.5,87.08,105.0,0.479,22025,1610612764,WAS,Washington Wizards,0022501212,2025-12-12,WAS vs. CLE,L,239,126,42,86,0.488,16,44,0.364,26,32,0.813,12,37,49,29,6,6,16,27,-4.0
Indiana Pacers,0022501216,1610612764,Washington,Wizards,WAS,wizards,171:19,30,67,0.448,7,19,0.368,7,15,0.467,15,30,45,17,5,3,7,12,74,Starters,593.4,118.7,494.4,98.9,99.0,19.8,0.463,1.73,14.5,0.426,0.759,0.593,12.088,12.1,0.517,0.538,1.0,0.973,18.1,90.5,75.42,91.0,0.576,22025,1610612764,WAS,Washington Wizards,0022501216,2025-12-14,WAS @ IND,W,240,108,41,89,0.461,10,28,0.357,16,26,0.615,17,39,56,19,5,3,11,21,19.0
San Antonio Spurs,0022500370,1610612764,Washington,Wizards,WAS,wizards,144:58,25,62,0.403,6,24,0.25,2,4,0.5,5,18,23,18,6,4,8,9,58,Starters,470.0,94.0,601.0,120.2,-131.0,-26.2,0.763,2.07,20.0,0.305,0.688,0.477,14.0,14.0,0.452,0.469,1.0,0.974,19.9,99.5,82.92,100.0,0.39,22025,1610612764,WAS,Washington Wizards,0022500370,2025-12-18,WAS @ SAS,L,240,94,38,94,0.404,9,36,0.25,9,14,0.643,13,33,46,29,10,5,12,18,-25.0
Memphis Grizzlies,0022500391,1610612764,Washington,Wizards,WAS,wizards,161:39,32,68,0.471,13,31,0.419,17,20,0.85,9,24,33,23,3,2,7,13,94,Starters,631.1,126.2,598.0,119.6,33.0,6.6,0.681,2.46,20.3,0.426,0.621,0.527,12.621,12.6,0.561,0.589,1.0,0.976,20.5,102.5,85.42,103.0,0.532,22025,1610612764,WAS,Washington Wizards,0022500391,2025-12-20,WAS @ MEM,W,239,130,47,99,0.475,17,44,0.386,19,26,0.731,20,34,54,32,5,3,13,20,8.0
San Antonio Spurs,0022500399,1610612764,Washington,Wizards,WAS,wizards,155:11,29,64,0.453,7,30,0.233,8,14,0.571,5,19,24,16,3,5,5,19,73,Starters,543.3,108.7,607.8,121.6,-64.6,-12.9,0.476,4.0,14.9,0.196,0.563,0.392,4.808,4.8,0.5,0.535,1.0,0.965,20.6,103.0,85.83,104.0,0.455,22025,1610612764,WAS,Washington Wizards,0022500399,2025-12-21,WAS vs. SAS,L,240,113,42,95,0.442,11,45,0.244,18,24,0.75,8,35,43,20,5,7,5,25,-11.0
Charlotte Hornets,0022500409,1610612764,Washington,Wizards,WAS,wizards,134:31,18,55,0.327,5,19,0.263,12,15,0.8,8,17,25,13,2,6,4,8,53,Starters,573.7,114.7,670.2,134.0,-96.5,-19.3,0.55,3.67,16.2,0.339,0.673,0.495,6.316,6.3,0.464,0.509,1.0,0.982,18.9,94.5,78.75,95.0,0.403,22025,1610612764,WAS,Washington Wizards,0022500409,2025-12-23,WAS @ CHA,L,237,109,40,97,0.412,10,35,0.286,19,23,0.826,18,31,49,22,3,7,6,20,-17.0
Toronto Raptors,0022500425,1610612764,Washington,Wizards,WAS,wizards,128:26,35,59,0.593,8,20,0.4,8,10,0.8,4,21,25,12,5,5,8,13,86,Starters,669.9,134.0,562.5,112.5,107.4,21.5,0.481,1.86,18.4,0.316,0.769,0.578,13.592,13.6,0.676,0.698,1.0,0.965,20.7,103.5,86.25,103.0,0.575,22025,1610612764,WAS,Washington Wizards,0022500425,2025-12-26,WAS vs. TOR,W,242,138,54,91,0.593,15,33,0.455,15,18,0.833,6,40,46,26,8,7,13,23,21.0
Memphis Grizzlies,0022500443,1610612764,Washington,Wizards,WAS,wizards,135:37,27,65,0.415,4,21,0.19,16,16,1.0,7,20,27,14,7,10,8,11,74,Starters,537.0,107.4,513.8,102.8,23.3,4.7,0.619,1.37,16.9,0.362,0.651,0.512,17.593,17.6,0.465,0.527,1.0,0.992,21.7,108.5,90.42,108.0,0.518,22025,1610612764,WAS,Washington Wizards,0022500443,2025-12-28,WAS vs. MEM,W,241,116,42,99,0.424,8,33,0.242,24,25,0.96,15,39,54,26,9,12,19,21,4.0
Phoenix Suns,0022500448,1610612764,Washington,Wizards,WAS,wizards,122:05,20,42,0.476,8,21,0.381,11,13,0.846,1,16,17,13,4,5,12,10,59,Starters,526.0,105.2,599.0,119.8,-72.9,-14.6,0.583,1.31,16.7,0.209,0.583,0.427,16.667,16.7,0.545,0.579,1.0,0.971,19.2,96.0,80.0,96.0,0.456,22025,1610612764,WAS,Washington Wizards,0022500448,2025-12-29,WAS vs. PHX,L,241,101,36,78,0.462,13,32,0.406,16,21,0.762,9,34,43,21,6,8,15,20,-14.0
Milwaukee Bucks,0022500469,1610612764,Washington,Wizards,WAS,wizards,136:49,21,57,0.368,9,19,0.474,11,16,0.688,7,18,25,16,2,5,5,13,62,Starters,581.6,116.3,570.7,114.1,10.9,2.2,0.756,3.1,21.4,0.286,0.654,0.463,10.204,10.2,0.537,0.554,1.0,0.991,19.7,98.5,82.08,98.0,0.514,22025,1610612764,WAS,Washington Wizards,0022500469,2025-12-31,WAS @ MIL,W,241,114,41,94,0.436,19,39,0.487,13,20,0.65,13,31,44,31,8,8,10,18,1.0
Brooklyn Nets,0022500477,1610612764,Washington,Wizards,WAS,wizards,139:45,25,50,0.5,6,13,0.462,12,14,0.857,6,22,28,14,7,6,10,11,68,Starters,583.3,116.7,480.6,96.1,102.8,20.6,0.511,1.26,16.6,0.413,0.759,0.6,18.627,18.6,0.571,0.601,1.0,0.975,20.5,102.5,85.42,102.0,0.593,22025,1610612764,WAS,Washington Wizards,0022500477,2026-01-02,WAS vs. BKN,W,241,119,47,92,0.511,11,29,0.379,14,16,0.875,13,38,51,24,10,9,18,20,20.0
Minnesota Timberwolves,0022500498,1610612764,Washington,Wizards,WAS,wizards,120:31,21,45,0.467,7,17,0.412,7,7,1.0,3,12,15,11,4,2,7,14,56,Starters,547.6,109.5,671.4,134.3,-123.8,-24.8,0.488,1.11,15.2,0.255,0.574,0.415,18.095,18.1,0.557,0.597,1.0,0.983,21.0,105.0,87.5,105.0,0.383,22025,1610612764,WAS,Washington Wizards,0022500498,2026-01-04,WAS vs. MIN,L,240,115,43,88,0.489,12,36,0.333,17,19,0.895,9,26,35,21,9,5,19,20,-26.0
Orlando Magic,0022500511,1610612764,Washington,Wizards,WAS,wizards,148:09,26,58,0.448,7,24,0.292,22,23,0.957,9,21,30,18,9,5,9,12,81,Starters,560.7,112.1,533.3,106.7,27.4,5.5,0.641,1.67,17.1,0.3,0.698,0.505,14.019,14.0,0.517,0.597,1.0,0.959,21.2,106.0,88.33,107.0,0.551,22025,1610612764,WAS,Washington Wizards,0022500511,2026-01-06,WAS vs. ORL,W,239,120,39,86,0.453,11,34,0.324,31,33,0.939,11,34,45,25,12,10,14,25,8.0
Philadelphia 76ers,0022500518,1610612764,Washington,Wizards,WAS,wizards,147:52,29,53,0.547,10,24,0.417,9,9,1.0,5,16,21,17,4,2,16,17,77,Starters,534.0,106.8,642.2,128.4,-108.2,-21.6,0.674,1.32,19.7,0.333,0.8,0.553,21.359,21.4,0.569,0.599,1.0,0.966,20.5,102.5,85.42,103.0,0.409,22025,1610612764,WAS,Washington Wizards,0022500518,2026-01-07,WAS @ PHI,L,240,110,43,87,0.494,13,33,0.394,11,11,1.0,11,31,42,29,7,6,22,20,-21.0
New Orleans Pelicans,0022500534,1610612764,Washington,Wizards,WAS,wizards,124:26,18,42,0.429,6,17,0.353,11,19,0.579,3,11,14,12,6,2,13,18,53,Starters,500.0,100.0,592.6,118.5,-92.6,-18.5,0.649,1.26,16.7,0.25,0.646,0.433,17.757,17.8,0.489,0.527,1.0,1.0,21.5,107.5,89.58,107.0,0.382,22025,1610612764,WAS,Washington Wizards,0022500534,2026-01-09,WAS vs. NOP,L,242,107,37,87,0.425,11,35,0.314,22,33,0.667,11,29,40,24,10,8,19,23,-21.0
Phoenix Suns,0022500555,1610612764,Washington,Wizards,WAS,wizards,131:11,22,58,0.379,6,24,0.25,7,7,1.0,4,24,28,14,3,6,12,12,57,Starters,447.1,89.4,543.7,108.7,-96.6,-19.3,0.647,0.96,15.5,0.308,0.696,0.509,22.115,22.1,0.436,0.495,1.0,0.967,20.7,103.5,86.25,104.0,0.424,22025,1610612764,WAS,Washington Wizards,0022500555,2026-01-11,WAS @ PHX,L,237,93,34,86,0.395,7,30,0.233,18,18,1.0,12,37,49,22,9,7,22,16,-19.0
