OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Memphis Grizzlies,0022500194,1610612760,Oklahoma City,Thunder,OKC,thunder,161:53,37,72,0.514,7,23,0.304,20,24,0.833,6,31,37,15,8,1,4,12,101,Starters,570.0,114.0,505.1,101.0,64.9,13.0,0.463,3.17,14.4,0.25,0.754,0.504,6.0,6.0,0.484,0.536,1.0,0.982,19.9,99.5,82.92,100.0,0.577,22025,1610612760,OKC,Oklahoma City Thunder,0022500194,2025-11-09,OKC @ MEM,W,239,114,41,95,0.432,10,43,0.233,22,26,0.846,9,42,51,19,10,3,6,17,14.0
Golden State Warriors,0022500210,1610612760,Oklahoma City,Thunder,OKC,thunder,124:20,29,51,0.569,8,15,0.533,13,15,0.867,7,20,27,19,4,4,9,13,79,Starters,623.8,124.8,500.0,100.0,123.8,24.8,0.69,1.45,20.1,0.333,0.773,0.558,19.802,19.8,0.602,0.652,1.0,0.974,20.3,101.5,84.58,101.0,0.606,22025,1610612760,OKC,Oklahoma City Thunder,0022500210,2025-11-11,OKC vs. GSW,W,240,126,42,83,0.506,16,36,0.444,26,31,0.839,10,30,40,29,12,4,19,21,24.0
Los Angeles Lakers,0022500222,1610612760,Oklahoma City,Thunder,OKC,thunder,120:07,27,50,0.54,4,17,0.235,14,16,0.875,3,16,19,14,8,3,6,13,72,Starters,593.1,118.6,446.6,89.3,146.5,29.3,0.636,2.55,20.3,0.182,0.755,0.495,10.784,10.8,0.568,0.617,1.0,0.991,20.5,102.5,85.42,102.0,0.668,22025,1610612760,OKC,Oklahoma City Thunder,0022500222,2025-11-12,OKC vs. LAL,W,239,121,44,88,0.5,12,39,0.308,21,23,0.913,6,36,42,28,14,4,11,19,29.0
Charlotte Hornets,0022500229,1610612760,Oklahoma City,Thunder,OKC,thunder,144:29,34,60,0.567,8,12,0.667,7,9,0.778,9,21,30,19,6,2,9,10,83,Starters,567.7,113.5,500.0,100.0,67.7,13.5,0.578,1.86,19.3,0.298,0.661,0.5,14.583,14.6,0.567,0.584,1.0,0.982,19.2,96.0,80.0,96.0,0.595,22025,1610612760,OKC,Oklahoma City Thunder,0022500229,2025-11-15,OKC @ CHA,W,240,109,45,89,0.506,11,23,0.478,8,10,0.8,13,37,50,26,9,6,14,15,13.0
New Orleans Pelicans,0022500247,1610612760,Oklahoma City,Thunder,OKC,thunder,144:40,30,52,0.577,11,22,0.5,18,20,0.9,9,12,21,19,11,4,11,14,89,Starters,630.0,126.0,545.0,109.0,85.0,17.0,0.698,1.67,20.3,0.413,0.644,0.527,18.0,18.0,0.592,0.634,1.0,0.975,20.0,100.0,83.33,100.0,0.603,22025,1610612760,OKC,Oklahoma City Thunder,0022500247,2025-11-17,OKC @ NOP,W,240,126,43,87,0.494,17,42,0.405,23,28,0.821,13,25,38,30,12,6,16,20,17.0
Sacramento Kings,0022500261,1610612760,Oklahoma City,Thunder,OKC,thunder,152:15,33,60,0.55,8,21,0.381,10,12,0.833,8,25,33,9,5,7,12,13,84,Starters,543.3,108.7,480.6,96.1,62.7,12.5,0.537,1.38,15.9,0.245,0.731,0.495,15.385,15.4,0.523,0.576,1.0,0.974,20.7,103.5,86.25,104.0,0.58,22025,1610612760,OKC,Oklahoma City Thunder,0022500261,2025-11-19,OKC vs. SAC,W,242,113,41,88,0.466,10,38,0.263,21,23,0.913,9,36,45,22,9,10,16,21,14.0
Utah Jazz,0022500055,1610612760,Oklahoma City,Thunder,OKC,thunder,128:39,26,43,0.605,8,15,0.533,13,18,0.722,1,12,13,17,8,2,8,9,73,Starters,692.3,138.5,538.5,107.7,153.8,30.8,0.706,2.57,24.7,0.194,0.651,0.443,13.462,13.5,0.753,0.766,1.0,0.973,20.8,104.0,86.67,104.0,0.634,22025,1610612760,OKC,Oklahoma City Thunder,0022500055,2025-11-21,OKC @ UTA,W,240,144,51,83,0.614,23,37,0.622,19,25,0.76,3,23,26,36,15,4,13,16,32.0
Portland Trail Blazers,0022500280,1610612760,Oklahoma City,Thunder,OKC,thunder,124:53,23,50,0.46,4,16,0.25,11,13,0.846,10,24,34,15,5,6,7,12,61,Starters,628.9,125.8,489.7,97.9,139.2,27.8,0.733,2.36,23.1,0.302,0.641,0.505,14.433,14.4,0.618,0.641,1.0,0.982,19.4,97.0,80.83,97.0,0.681,22025,1610612760,OKC,Oklahoma City Thunder,0022500280,2025-11-23,OKC vs. POR,W,241,122,45,85,0.529,15,36,0.417,17,23,0.739,12,37,49,33,9,8,14,23,27.0
Minnesota Timberwolves,0022500064,1610612760,Oklahoma City,Thunder,OKC,thunder,157:08,28,57,0.491,5,17,0.294,20,25,0.8,5,21,26,13,8,3,4,16,81,Starters,565.0,113.0,530.3,106.1,34.7,6.9,0.5,2.11,14.8,0.209,0.685,0.474,9.0,9.0,0.519,0.584,1.0,0.954,19.9,99.5,82.92,100.0,0.568,22025,1610612760,OKC,Oklahoma City Thunder,0022500064,2025-11-26,OKC vs. MIN,W,241,113,38,80,0.475,7,26,0.269,30,38,0.789,5,34,39,19,8,3,7,25,8.0
Phoenix Suns,0022500075,1610612760,Oklahoma City,Thunder,OKC,thunder,159:10,30,61,0.492,9,18,0.5,23,27,0.852,1,20,21,20,7,2,3,12,92,Starters,580.2,116.0,561.3,112.3,18.9,3.8,0.643,2.7,19.6,0.128,0.667,0.416,9.434,9.4,0.569,0.619,1.0,0.982,21.2,106.0,88.33,106.0,0.549,22025,1610612760,OKC,Oklahoma City Thunder,0022500075,2025-11-28,OKC vs. PHX,W,240,123,42,87,0.483,15,32,0.469,24,28,0.857,3,34,37,27,9,3,10,22,4.0
Portland Trail Blazers,0022500305,1610612760,Oklahoma City,Thunder,OKC,thunder,149:38,29,60,0.483,3,11,0.273,13,18,0.722,5,25,30,17,4,7,8,16,74,Starters,569.4,113.9,532.4,106.5,37.0,7.4,0.614,2.25,18.4,0.255,0.746,0.518,11.111,11.1,0.544,0.591,1.0,0.975,21.6,108.0,90.0,108.0,0.55,22025,1610612760,OKC,Oklahoma City Thunder,0022500305,2025-11-30,OKC @ POR,W,240,123,44,90,0.489,10,29,0.345,25,32,0.781,8,41,49,27,7,9,12,29,8.0
Golden State Warriors,0022500323,1610612760,Oklahoma City,Thunder,OKC,thunder,158:21,36,62,0.581,9,19,0.474,14,19,0.737,3,21,24,17,5,3,7,7,95,Starters,607.8,121.6,549.0,109.8,58.8,11.8,0.522,1.6,18.5,0.111,0.736,0.483,14.706,14.7,0.677,0.696,1.0,0.981,20.4,102.0,85.0,102.0,0.584,22025,1610612760,OKC,Oklahoma City Thunder,0022500323,2025-12-02,OKC @ GSW,W,241,124,46,79,0.582,15,32,0.469,17,23,0.739,4,37,41,24,8,5,15,13,12.0
Dallas Mavericks,0022500349,1610612760,Oklahoma City,Thunder,OKC,thunder,117:48,26,45,0.578,8,18,0.444,18,20,0.9,4,24,28,16,3,3,3,11,78,Starters,666.7,133.3,566.3,113.3,100.3,20.1,0.638,5.0,22.1,0.189,0.776,0.523,6.061,6.1,0.631,0.685,1.0,0.972,19.7,98.5,82.08,99.0,0.607,22025,1610612760,OKC,Oklahoma City Thunder,0022500349,2025-12-05,OKC vs. DAL,W,242,132,47,84,0.56,12,30,0.4,26,28,0.929,7,36,43,30,5,3,6,21,21.0
Utah Jazz,0022500363,1610612760,Oklahoma City,Thunder,OKC,thunder,125:33,29,51,0.569,6,19,0.316,4,9,0.444,2,20,22,21,9,2,7,6,68,Starters,655.0,131.0,500.0,100.0,155.0,31.0,0.627,2.29,22.7,0.209,0.796,0.522,14.0,14.0,0.699,0.683,1.0,0.982,20.1,100.5,83.75,100.0,0.608,22025,1610612760,OKC,Oklahoma City Thunder,0022500363,2025-12-07,OKC @ UTA,W,240,131,51,88,0.58,21,42,0.5,8,18,0.444,8,36,44,32,9,3,13,20,30.0
