OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Toronto Raptors,22500207,1610612751,Brooklyn,Nets,BKN,nets,165:50,25,56,0.446,8,22,0.364,27,28,0.964,6,23,29,19,5,5,11,14,85,Starters,567.7,113.5,613.4,122.7,-45.7,-9.1,0.75,1.85,18.2,0.24,0.66,0.443,13.542,13.5,0.481,0.573,1.0,0.981,19.3,96.5,80.42,96.0,0.439,22025,1610612751,BKN,Brooklyn Nets,0022500207,2025-11-11,BKN vs. TOR,L,241,109,32,81,0.395,14,41,0.341,31,32,0.969,7,29,36,24,7,5,12,20,-10.0
Orlando Magic,22500040,1610612751,Brooklyn,Nets,BKN,nets,143:18,25,62,0.403,8,28,0.286,11,14,0.786,4,19,23,15,2,4,3,13,69,Starters,532.6,106.5,570.7,114.1,-38.0,-7.6,0.605,3.29,18.1,0.222,0.622,0.404,7.609,7.6,0.483,0.51,1.0,0.962,18.4,92.0,76.67,92.0,0.464,22025,1610612751,BKN,Brooklyn Nets,0022500040,2025-11-14,BKN @ ORL,L,239,98,38,89,0.427,10,39,0.256,12,16,0.75,7,27,34,23,9,4,5,19,-7.0
Washington Wizards,22500235,1610612751,Brooklyn,Nets,BKN,nets,142:42,24,44,0.545,10,22,0.455,20,27,0.741,4,25,29,23,2,5,8,10,78,Starters,651.5,130.3,540.8,108.2,110.7,22.1,0.762,2.13,22.5,0.268,0.837,0.578,15.152,15.2,0.639,0.683,1.0,0.964,19.7,98.5,82.08,99.0,0.621,22025,1610612751,BKN,Brooklyn Nets,0022500235,2025-11-16,BKN @ WAS,W,240,129,42,79,0.532,17,41,0.415,28,35,0.8,7,37,44,32,4,8,14,18,23.0
Boston Celtics,22500250,1610612751,Brooklyn,Nets,BKN,nets,136:57,18,47,0.383,11,21,0.524,13,19,0.684,9,16,25,16,5,2,9,11,60,Starters,521.1,104.2,594.7,118.9,-73.7,-14.7,0.758,1.79,18.4,0.286,0.7,0.458,14.737,14.7,0.488,0.527,1.0,0.964,19.0,95.0,79.17,95.0,0.429,22025,1610612751,BKN,Brooklyn Nets,0022500250,2025-11-18,BKN vs. BOS,L,240,99,33,82,0.402,14,38,0.368,19,27,0.704,12,27,39,25,12,2,13,22,-14.0
Boston Celtics,22500049,1610612751,Brooklyn,Nets,BKN,nets,170:25,34,65,0.523,11,25,0.44,9,14,0.643,6,28,34,25,3,5,7,10,88,Starters,582.5,116.5,541.2,108.2,41.2,8.2,0.721,2.21,22.6,0.22,0.712,0.495,14.433,14.4,0.604,0.619,1.0,0.972,19.4,97.0,80.83,97.0,0.574,22025,1610612751,BKN,Brooklyn Nets,0022500049,2025-11-21,BKN @ BOS,W,239,113,43,82,0.524,13,33,0.394,14,21,0.667,7,34,41,31,5,6,13,17,8.0
Toronto Raptors,22500279,1610612751,Brooklyn,Nets,BKN,nets,149:57,23,53,0.434,6,23,0.261,13,14,0.929,6,17,23,17,3,5,11,13,65,Starters,579.8,116.0,626.3,125.3,-46.5,-9.3,0.657,1.21,17.4,0.357,0.717,0.545,20.213,20.2,0.547,0.615,1.0,0.991,18.9,94.5,78.75,94.0,0.45,22025,1610612751,BKN,Brooklyn Nets,0022500279,2025-11-23,BKN @ TOR,L,240,109,35,75,0.467,12,34,0.353,27,31,0.871,10,30,40,23,5,7,19,20,-10.0
New York Knicks,22500285,1610612751,Brooklyn,Nets,BKN,nets,139:41,23,56,0.411,10,31,0.323,14,19,0.737,6,18,24,8,2,1,6,7,70,Starters,537.6,107.5,601.1,120.2,-63.4,-12.7,0.576,1.9,14.5,0.328,0.761,0.519,10.753,10.8,0.46,0.503,1.0,0.973,18.7,93.5,77.92,93.0,0.401,22025,1610612751,BKN,Brooklyn Nets,0022500285,2025-11-24,BKN vs. NYK,L,241,100,33,87,0.379,14,48,0.292,20,28,0.714,13,31,44,19,5,1,10,14,-13.0
Philadelphia 76ers,22500070,1610612751,Brooklyn,Nets,BKN,nets,168:54,25,61,0.41,10,34,0.294,15,18,0.833,9,21,30,16,4,5,15,9,75,Starters,525.5,105.1,580.8,116.2,-55.3,-11.1,0.618,1.17,15.3,0.34,0.717,0.515,18.367,18.4,0.476,0.534,1.0,1.0,19.7,98.5,82.08,98.0,0.397,22025,1610612751,BKN,Brooklyn Nets,0022500070,2025-11-28,BKN vs. PHI,L,240,103,34,85,0.4,13,43,0.302,22,26,0.846,14,27,41,21,5,5,18,16,-12.0
Milwaukee Bucks,22500297,1610612751,Brooklyn,Nets,BKN,nets,110:29,15,35,0.429,5,20,0.25,1,2,0.5,3,11,14,7,3,0,10,10,36,Starters,532.3,106.5,617.0,123.4,-84.8,-17.0,0.639,1.15,17.8,0.295,0.651,0.471,21.505,21.5,0.571,0.586,1.0,0.962,18.7,93.5,77.92,93.0,0.372,22025,1610612751,BKN,Brooklyn Nets,0022500297,2025-11-29,BKN @ MIL,L,239,99,36,77,0.468,16,42,0.381,11,17,0.647,6,25,31,23,4,4,18,16,-17.0
Charlotte Hornets,22500312,1610612751,Brooklyn,Nets,BKN,nets,144:51,30,62,0.484,12,23,0.522,8,10,0.8,7,16,23,21,6,3,4,12,80,Starters,585.9,117.2,515.0,103.0,70.9,14.2,0.767,3.0,22.1,0.304,0.72,0.5,11.111,11.1,0.536,0.56,1.0,0.991,19.9,99.5,82.92,99.0,0.533,22025,1610612751,BKN,Brooklyn Nets,0022500312,2025-12-01,BKN vs. CHA,W,240,116,43,96,0.448,17,43,0.395,13,17,0.765,13,30,43,33,10,3,11,23,13.0
Chicago Bulls,22500329,1610612751,Brooklyn,Nets,BKN,nets,149:32,27,55,0.491,13,33,0.394,14,17,0.824,5,21,26,21,8,4,8,14,81,Starters,559.4,111.9,509.9,102.0,49.5,9.9,0.789,1.43,21.3,0.233,0.691,0.49,20.792,20.8,0.609,0.644,1.0,0.964,20.2,101.0,84.17,101.0,0.569,22025,1610612751,BKN,Brooklyn Nets,0022500329,2025-12-03,BKN @ CHI,W,241,113,38,78,0.487,19,46,0.413,18,22,0.818,7,35,42,30,12,8,20,19,10.0
Utah Jazz,22500335,1610612751,Brooklyn,Nets,BKN,nets,124:28,15,39,0.385,4,17,0.235,13,16,0.813,8,17,25,13,0,4,7,11,47,Starters,550.0,110.0,621.2,124.2,-71.2,-14.2,0.629,1.22,15.7,0.36,0.78,0.549,18.0,18.0,0.494,0.557,1.0,0.975,19.9,99.5,82.92,100.0,0.422,22025,1610612751,BKN,Brooklyn Nets,0022500335,2025-12-04,BKN vs. UTA,L,240,110,35,82,0.427,11,42,0.262,29,38,0.763,14,30,44,22,6,7,17,19,-13.0
New Orleans Pelicans,22500350,1610612751,Brooklyn,Nets,BKN,nets,143:15,30,55,0.545,10,21,0.476,7,9,0.778,11,24,35,24,2,5,9,10,77,Starters,613.4,122.7,515.3,103.1,98.1,19.6,0.766,1.8,24.0,0.378,0.702,0.543,20.619,20.6,0.607,0.625,1.0,0.965,19.5,97.5,81.25,97.0,0.571,22025,1610612751,BKN,Brooklyn Nets,0022500350,2025-12-06,BKN vs. NOP,W,241,119,47,89,0.528,14,35,0.4,11,14,0.786,13,32,45,36,6,7,16,17,18.0
Dallas Mavericks,0022501214,1610612751,Brooklyn,Nets,BKN,nets,147:23,27,60,0.45,10,25,0.4,10,11,0.909,2,21,23,19,7,2,12,13,74,Starters,544.1,108.8,572.1,114.4,-28.0,-5.6,0.667,1.53,18.8,0.208,0.7,0.459,16.667,16.7,0.552,0.588,1.0,1.0,20.6,103.0,85.83,102.0,0.459,22025,1610612751,BKN,Brooklyn Nets,0022501214,2025-12-12,BKN @ DAL,L,240,111,39,86,0.453,17,39,0.436,16,19,0.842,9,34,43,26,8,5,17,22,-8.0
Milwaukee Bucks,0022501219,1610612751,Brooklyn,Nets,BKN,nets,119:55,23,42,0.548,10,22,0.455,11,12,0.917,3,17,20,16,4,3,9,10,67,Starters,641.4,128.3,410.0,82.0,231.4,46.3,0.733,2.36,23.6,0.22,0.816,0.544,14.141,14.1,0.641,0.68,1.0,0.991,19.9,99.5,82.92,99.0,0.73,22025,1610612751,BKN,Brooklyn Nets,0022501219,2025-12-14,BKN vs. MIL,W,241,127,45,85,0.529,19,43,0.442,18,19,0.947,6,37,43,33,14,4,13,15,45.0
Miami Heat,22500373,1610612751,Brooklyn,Nets,BKN,nets,153:08,27,68,0.397,8,36,0.222,8,11,0.727,10,19,29,17,4,6,7,12,70,Starters,479.8,96.0,530.0,106.0,-50.2,-10.0,0.632,1.85,17.0,0.29,0.706,0.478,13.131,13.1,0.444,0.462,1.0,0.983,19.9,99.5,82.92,99.0,0.414,22025,1610612751,BKN,Brooklyn Nets,0022500373,2025-12-18,BKN vs. MIA,L,242,95,38,98,0.388,11,49,0.224,8,11,0.727,15,34,49,24,7,7,12,17,-11.0
Toronto Raptors,22500397,1610612751,Brooklyn,Nets,BKN,nets,153:13,28,52,0.538,13,26,0.5,7,10,0.7,5,30,35,19,3,2,12,11,76,Starters,494.8,99.0,413.3,82.7,81.6,16.3,0.829,1.32,21.3,0.233,0.8,0.551,22.68,22.7,0.56,0.585,1.0,0.972,19.5,97.5,81.25,97.0,0.623,22025,1610612751,BKN,Brooklyn Nets,0022500397,2025-12-21,BKN vs. TOR,W,239,96,35,75,0.467,14,35,0.4,12,16,0.75,6,42,48,29,7,4,21,17,15.0
Philadelphia 76ers,22500410,1610612751,Brooklyn,Nets,BKN,nets,152:54,26,56,0.464,12,32,0.375,17,22,0.773,6,17,23,13,5,2,11,14,81,Starters,575.8,115.2,535.4,107.1,40.4,8.1,0.686,1.26,17.0,0.367,0.615,0.495,19.192,19.2,0.53,0.591,1.0,0.966,19.8,99.0,82.5,99.0,0.522,22025,1610612751,BKN,Brooklyn Nets,0022500410,2025-12-23,BKN @ PHI,W,239,114,35,82,0.427,17,45,0.378,27,33,0.818,12,27,39,24,8,2,18,25,8.0
Minnesota Timberwolves,22500439,1610612751,Brooklyn,Nets,BKN,nets,148:31,23,48,0.479,6,24,0.25,9,10,0.9,7,20,27,17,3,2,11,11,61,Starters,647.4,129.5,551.5,110.3,95.8,19.2,0.696,2.0,23.0,0.316,0.714,0.54,16.842,16.8,0.613,0.66,1.0,0.991,19.2,96.0,80.0,95.0,0.584,22025,1610612751,BKN,Brooklyn Nets,0022500439,2025-12-27,BKN @ MIN,W,241,123,46,84,0.548,11,40,0.275,20,21,0.952,9,30,39,32,8,2,15,22,16.0
Golden State Warriors,22500449,1610612751,Brooklyn,Nets,BKN,nets,157:05,27,55,0.491,14,31,0.452,12,17,0.706,8,20,28,18,10,4,10,16,80,Starters,551.5,110.3,625.0,125.0,-73.5,-14.7,0.611,1.47,17.1,0.261,0.684,0.452,15.464,15.5,0.563,0.594,1.0,0.981,19.3,96.5,80.42,97.0,0.398,22025,1610612751,BKN,Brooklyn Nets,0022500449,2025-12-29,BKN vs. GSW,L,240,107,36,80,0.45,18,42,0.429,17,23,0.739,9,25,34,22,10,5,15,27,-13.0
Houston Rockets,22500471,1610612751,Brooklyn,Nets,BKN,nets,131:15,19,44,0.432,4,14,0.286,11,20,0.55,6,9,15,8,8,2,6,9,53,Starters,539.3,107.9,659.3,131.9,-120.0,-24.0,0.529,1.38,15.1,0.255,0.583,0.398,14.607,14.6,0.513,0.538,1.0,0.99,18.0,90.0,75.0,89.0,0.346,22025,1610612751,BKN,Brooklyn Nets,0022500471,2026-01-01,BKN vs. HOU,L,240,96,34,76,0.447,10,30,0.333,18,30,0.6,10,17,27,18,12,2,13,17,-24.0
Washington Wizards,22500477,1610612751,Brooklyn,Nets,BKN,nets,144:13,20,56,0.357,2,17,0.118,15,18,0.833,9,19,28,12,8,3,9,14,57,Starters,480.6,96.1,583.3,116.7,-102.8,-20.6,0.588,1.25,14.7,0.241,0.587,0.4,15.534,15.5,0.43,0.503,1.0,0.974,20.5,102.5,85.42,103.0,0.407,22025,1610612751,BKN,Brooklyn Nets,0022500477,2026-01-02,BKN @ WAS,L,241,99,34,86,0.395,6,29,0.207,25,28,0.893,9,24,33,20,15,8,16,16,-20.0
Denver Nuggets,22500496,1610612751,Brooklyn,Nets,BKN,nets,146:00,27,50,0.54,9,18,0.5,22,26,0.846,11,20,31,21,5,4,7,15,85,Starters,668.4,133.7,611.7,122.3,56.7,11.3,0.707,2.9,20.9,0.349,0.723,0.544,10.526,10.5,0.593,0.653,1.0,0.973,18.9,94.5,78.75,95.0,0.568,22025,1610612751,BKN,Brooklyn Nets,0022500496,2026-01-04,BKN vs. DEN,W,240,127,41,81,0.506,14,33,0.424,31,37,0.838,12,32,44,29,7,5,10,22,12.0
Orlando Magic,22500521,1610612751,Brooklyn,Nets,BKN,nets,160:44,25,54,0.463,14,36,0.389,8,12,0.667,6,16,22,15,10,3,12,12,72,Starters,515.0,103.0,509.8,102.0,5.2,1.0,0.639,1.1,16.3,0.34,0.61,0.482,21.0,21.0,0.517,0.538,1.0,0.975,18.29,91.47,76.23,100.0,0.463,22025,1610612751,BKN,Brooklyn Nets,0022500521,2026-01-07,BKN vs. ORL,L,264,103,36,86,0.419,17,51,0.333,14,22,0.636,14,30,44,23,11,8,19,18,-1.0
Los Angeles Clippers,22500535,1610612751,Brooklyn,Nets,BKN,nets,144:37,26,63,0.413,9,31,0.29,9,10,0.9,12,8,20,19,11,1,6,9,70,Starters,564.5,112.9,650.5,130.1,-86.0,-17.2,0.65,2.17,18.1,0.426,0.688,0.516,12.903,12.9,0.475,0.501,1.0,0.983,18.6,93.0,77.5,93.0,0.384,22025,1610612751,BKN,Brooklyn Nets,0022500535,2026-01-09,BKN vs. LAC,L,240,105,40,100,0.4,15,47,0.319,10,11,0.909,19,20,39,26,12,4,12,18,-16.0
Memphis Grizzlies,22500549,1610612751,Brooklyn,Nets,BKN,nets,137:02,16,46,0.348,9,27,0.333,8,16,0.5,5,19,24,11,5,5,7,8,49,Starters,532.6,106.5,565.9,113.2,-33.3,-6.7,0.694,2.5,18.9,0.268,0.608,0.43,10.87,10.9,0.511,0.516,1.0,0.981,18.3,91.5,76.25,92.0,0.45,22025,1610612751,BKN,Brooklyn Nets,0022500549,2026-01-11,BKN @ MEM,L,240,98,36,88,0.409,18,48,0.375,8,16,0.5,13,30,43,25,10,6,10,17,-5.0
Dallas Mavericks,22500561,1610612751,Brooklyn,Nets,BKN,nets,141:52,26,51,0.51,8,23,0.348,9,10,0.9,4,17,21,16,3,4,11,14,69,Starters,546.9,109.4,588.5,117.7,-41.7,-8.3,0.59,1.35,16.8,0.367,0.698,0.522,17.708,17.7,0.506,0.554,1.0,0.991,19.2,96.0,80.0,96.0,0.448,22025,1610612751,BKN,Brooklyn Nets,0022500561,2026-01-12,BKN @ DAL,L,240,105,39,86,0.453,9,37,0.243,18,20,0.9,13,30,43,23,5,8,17,20,-8.0
New Orleans Pelicans,22500574,1610612751,Brooklyn,Nets,BKN,nets,144:54,27,57,0.474,11,29,0.379,4,6,0.667,6,19,25,14,1,4,6,9,69,Starters,576.5,115.3,591.8,118.4,-15.3,-3.1,0.533,2.18,17.5,0.278,0.61,0.451,11.224,11.2,0.558,0.563,1.0,0.973,19.6,98.0,81.67,98.0,0.454,22025,1610612751,BKN,Brooklyn Nets,0022500574,2026-01-14,BKN @ NOP,L,240,113,45,95,0.474,16,43,0.372,7,12,0.583,10,33,43,24,3,5,10,21,-3.0
Chicago Bulls,22500587,1610612751,Brooklyn,Nets,BKN,nets,132:44,21,50,0.42,11,25,0.44,11,13,0.846,6,26,32,12,4,3,11,6,64,Starters,571.4,114.3,550.5,110.1,20.9,4.2,0.769,2.14,21.0,0.283,0.82,0.544,14.286,14.3,0.533,0.569,1.0,0.982,19.7,98.5,82.08,98.0,0.473,22025,1610612751,BKN,Brooklyn Nets,0022500587,2026-01-16,BKN vs. CHI,W,240,112,39,91,0.429,19,40,0.475,15,17,0.882,11,36,47,30,7,4,14,17,3.0
Chicago Bulls,22500603,1610612751,Brooklyn,Nets,BKN,nets,128:02,22,48,0.458,7,21,0.333,2,3,0.667,2,19,21,16,4,4,7,9,53,Starters,548.4,109.7,673.9,134.8,-125.5,-25.1,0.868,3.0,24.3,0.229,0.688,0.458,11.828,11.8,0.554,0.569,1.0,0.981,18.5,92.5,77.08,93.0,0.416,22025,1610612751,BKN,Brooklyn Nets,0022500603,2026-01-18,BKN @ CHI,L,240,102,38,83,0.458,16,37,0.432,10,15,0.667,7,31,38,33,4,4,11,15,-22.0
