OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Brooklyn Nets,0022500207,1610612761,Toronto,Raptors,TOR,raptors,153:07,35,70,0.5,4,22,0.182,15,19,0.789,11,27,38,22,5,4,4,14,89,Starters,613.4,122.7,567.7,113.5,45.7,9.1,0.689,3.44,21.7,0.34,0.76,0.557,9.278,9.3,0.544,0.583,1.0,0.982,19.3,96.5,80.42,97.0,0.561,22025,1610612761,TOR,Toronto Raptors,0022500207,2025-11-11,TOR @ BKN,W,242,119,45,91,0.495,9,35,0.257,20,25,0.8,13,37,50,31,5,4,8,23,10.0
Cleveland Cavaliers,0022500225,1610612761,Toronto,Raptors,TOR,raptors,158:08,37,69,0.536,6,20,0.3,13,14,0.929,6,26,32,25,4,6,8,10,93,Starters,649.5,129.9,582.5,116.5,67.0,13.4,0.755,2.64,25.0,0.375,0.685,0.553,14.433,14.4,0.625,0.66,1.0,0.973,19.4,97.0,80.83,97.0,0.596,22025,1610612761,TOR,Toronto Raptors,0022500225,2025-11-13,TOR @ CLE,W,241,126,49,88,0.557,12,31,0.387,16,17,0.941,11,32,43,37,6,7,13,20,13.0
Indiana Pacers,0022500230,1610612761,Toronto,Raptors,TOR,raptors,145:00,31,55,0.564,5,17,0.294,22,36,0.611,7,27,34,20,5,2,8,12,89,Starters,602.8,120.6,513.9,102.8,88.9,17.8,0.604,2.07,19.3,0.286,0.788,0.545,13.084,13.1,0.592,0.611,1.0,0.975,21.5,107.5,89.58,107.0,0.611,22025,1610612761,TOR,Toronto Raptors,0022500230,2025-11-15,TOR @ IND,W,240,129,48,87,0.552,7,30,0.233,26,42,0.619,8,38,46,29,13,3,12,20,18.0
Charlotte Hornets,0022500245,1610612761,Toronto,Raptors,TOR,raptors,166:25,36,71,0.507,7,19,0.368,8,12,0.667,6,28,34,17,6,5,11,11,87,Starters,539.2,107.8,519.2,103.8,20.0,4.0,0.568,1.47,18.4,0.196,0.673,0.455,16.667,16.7,0.557,0.579,1.0,1.0,20.6,103.0,85.83,102.0,0.505,22025,1610612761,TOR,Toronto Raptors,0022500245,2025-11-17,TOR vs. CHA,W,239,110,44,88,0.5,10,25,0.4,12,16,0.75,8,35,43,25,8,7,17,21,2.0
Philadelphia 76ers,0022500258,1610612761,Toronto,Raptors,TOR,raptors,172:24,36,64,0.563,8,18,0.444,17,20,0.85,7,18,25,24,5,1,12,14,97,Starters,617.3,123.5,571.4,114.3,45.9,9.2,0.733,2.2,22.8,0.341,0.583,0.472,15.306,15.3,0.601,0.64,1.0,0.973,19.6,98.0,81.67,98.0,0.555,22025,1610612761,TOR,Toronto Raptors,0022500258,2025-11-19,TOR @ PHI,W,240,121,45,84,0.536,11,29,0.379,20,24,0.833,8,23,31,33,12,2,14,19,9.0
Washington Wizards,0022500050,1610612761,Toronto,Raptors,TOR,raptors,138:18,32,53,0.604,8,18,0.444,19,25,0.76,5,27,32,20,6,3,9,10,91,Starters,666.7,133.3,528.8,105.8,137.8,27.6,0.75,2.4,23.2,0.35,0.755,0.573,14.286,14.3,0.663,0.699,1.0,0.975,20.91,104.54,87.11,105.0,0.653,22025,1610612761,TOR,Toronto Raptors,0022500050,2025-11-21,TOR vs. WAS,W,240,140,48,83,0.578,14,28,0.5,30,39,0.769,13,35,48,36,13,4,14,20,30.0
Brooklyn Nets,0022500279,1610612761,Toronto,Raptors,TOR,raptors,146:30,25,59,0.424,9,18,0.5,13,14,0.929,5,21,26,15,8,4,7,14,72,Starters,626.3,125.3,579.8,116.0,46.5,9.3,0.769,3.33,21.7,0.283,0.643,0.455,9.474,9.5,0.554,0.615,1.0,0.981,18.9,94.5,78.75,95.0,0.55,22025,1610612761,TOR,Toronto Raptors,0022500279,2025-11-23,TOR vs. BKN,W,241,119,39,84,0.464,15,30,0.5,26,29,0.897,6,26,32,30,12,4,9,22,10.0
Cleveland Cavaliers,0022500284,1610612761,Toronto,Raptors,TOR,raptors,159:44,33,69,0.478,7,25,0.28,5,8,0.625,7,33,40,17,7,0,12,10,78,Starters,539.2,107.8,490.1,98.0,49.1,9.8,0.636,1.75,19.6,0.271,0.902,0.596,15.686,15.7,0.544,0.562,1.0,0.965,20.3,101.5,84.58,102.0,0.53,22025,1610612761,TOR,Toronto Raptors,0022500284,2025-11-24,TOR vs. CLE,W,239,110,44,90,0.489,10,36,0.278,12,18,0.667,10,41,51,28,8,1,15,14,11.0
Indiana Pacers,0022500063,1610612761,Toronto,Raptors,TOR,raptors,148:35,26,62,0.419,2,14,0.143,19,24,0.792,9,24,33,13,5,3,10,12,73,Starters,480.2,96.0,470.3,94.1,9.9,2.0,0.514,1.38,13.2,0.288,0.833,0.533,12.871,12.9,0.417,0.476,1.0,0.975,20.2,101.0,84.17,101.0,0.503,22025,1610612761,TOR,Toronto Raptors,0022500063,2025-11-26,TOR vs. IND,W,240,97,35,90,0.389,5,26,0.192,22,27,0.815,12,36,48,18,9,4,13,19,2.0
Charlotte Hornets,0022500294,1610612761,Toronto,Raptors,TOR,raptors,175:43,35,71,0.493,6,17,0.353,11,13,0.846,12,27,39,28,4,2,13,16,87,Starters,549.5,109.9,590.0,118.0,-40.5,-8.1,0.773,2.13,21.4,0.455,0.685,0.569,15.842,15.8,0.49,0.521,1.0,0.976,18.2,91.02,75.85,101.0,0.479,22025,1610612761,TOR,Toronto Raptors,0022500294,2025-11-29,TOR @ CHA,L,265,111,44,99,0.444,9,29,0.31,14,17,0.824,17,35,52,34,6,3,15,26,-7.0
