OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Portland Trail Blazers,22500219,1610612740,New Orleans,Pelicans,NOP,pelicans,142:59,24,55,0.436,9,27,0.333,16,18,0.889,8,9,17,18,5,0,6,13,73,Starters,615.8,123.2,651.0,130.2,-35.3,-7.1,0.651,2.8,20.3,0.306,0.703,0.477,10.526,10.5,0.544,0.584,1.0,0.991,19.1,95.5,79.58,95.0,0.447,22025,1610612740,NOP,New Orleans Pelicans,0022500219,2025-11-12,NOP vs. POR,L,239,117,43,91,0.473,13,39,0.333,18,21,0.857,15,20,35,28,6,2,10,20,-8.0
Los Angeles Lakers,22500045,1610612740,New Orleans,Pelicans,NOP,pelicans,149:31,29,65,0.446,9,25,0.36,13,16,0.813,8,15,23,15,10,1,12,9,80,Starters,495.2,99.0,572.8,114.6,-77.6,-15.5,0.615,1.2,16.7,0.296,0.767,0.505,19.048,19.0,0.506,0.537,1.0,0.967,20.8,104.0,86.67,105.0,0.398,22025,1610612740,NOP,New Orleans Pelicans,0022500045,2025-11-14,NOP vs. LAL,L,239,104,39,89,0.438,12,34,0.353,14,18,0.778,12,30,42,24,11,3,20,23,-14.0
Golden State Warriors,22500237,1610612740,New Orleans,Pelicans,NOP,pelicans,138:22,21,48,0.438,4,14,0.286,17,20,0.85,6,23,29,11,7,3,14,12,63,Starters,509.6,101.9,601.9,120.4,-92.3,-18.5,0.579,1.05,15.5,0.32,0.608,0.465,20.192,20.2,0.506,0.553,1.0,0.967,20.7,103.5,86.25,104.0,0.438,22025,1610612740,NOP,New Orleans Pelicans,0022500237,2025-11-16,NOP vs. GSW,L,241,106,38,83,0.458,8,29,0.276,22,29,0.759,15,30,45,22,11,4,20,16,-18.0
Oklahoma City Thunder,22500247,1610612740,New Orleans,Pelicans,NOP,pelicans,133:16,22,49,0.449,7,13,0.538,11,13,0.846,8,10,18,8,7,3,18,13,62,Starters,545.0,109.0,630.0,126.0,-85.0,-17.0,0.5,0.95,15.4,0.356,0.587,0.473,22.0,22.0,0.558,0.589,1.0,0.974,20.0,100.0,83.33,100.0,0.397,22025,1610612740,NOP,New Orleans Pelicans,0022500247,2025-11-17,NOP vs. OKC,L,239,109,42,86,0.488,12,28,0.429,13,15,0.867,12,23,35,21,9,4,20,26,-17.0
Denver Nuggets,22500260,1610612740,New Orleans,Pelicans,NOP,pelicans,149:56,35,68,0.515,7,22,0.318,15,20,0.75,8,14,22,16,10,5,10,14,92,Starters,546.3,109.3,584.1,116.8,-37.8,-7.6,0.568,2.08,16.6,0.345,0.78,0.531,11.111,11.1,0.485,0.528,1.0,0.984,21.5,107.5,89.58,108.0,0.448,22025,1610612740,NOP,New Orleans Pelicans,0022500260,2025-11-19,NOP vs. DEN,L,239,118,44,98,0.449,7,34,0.206,23,31,0.742,17,27,44,25,12,5,12,24,-7.0
Dallas Mavericks,22500052,1610612740,New Orleans,Pelicans,NOP,pelicans,160:50,33,62,0.532,5,16,0.313,24,31,0.774,6,23,29,17,13,2,10,10,95,Starters,542.5,108.5,556.6,111.3,-14.2,-2.8,0.595,1.92,17.4,0.25,0.735,0.485,12.264,12.3,0.5,0.55,1.0,0.975,21.2,106.0,88.33,106.0,0.481,22025,1610612740,NOP,New Orleans Pelicans,0022500052,2025-11-21,NOP @ DAL,L,240,115,42,91,0.462,7,27,0.259,24,31,0.774,9,33,42,25,15,4,13,20,-3.0
Atlanta Hawks,22500270,1610612740,New Orleans,Pelicans,NOP,pelicans,149:28,25,62,0.403,5,21,0.238,17,20,0.85,10,26,36,17,4,2,12,14,72,Starters,505.2,101.0,580.8,116.2,-75.7,-15.1,0.6,1.17,15.4,0.365,0.76,0.559,18.557,18.6,0.464,0.518,1.0,0.957,19.6,98.0,81.67,97.0,0.424,22025,1610612740,NOP,New Orleans Pelicans,0022500270,2025-11-22,NOP vs. ATL,L,240,98,35,84,0.417,8,27,0.296,20,24,0.833,13,35,48,21,5,6,14,17,-17.0
Chicago Bulls,22500289,1610612740,New Orleans,Pelicans,NOP,pelicans,141:28,31,64,0.484,9,21,0.429,21,29,0.724,6,21,27,16,7,2,5,12,92,Starters,656.0,131.2,585.6,117.1,70.4,14.1,0.528,2.0,17.3,0.464,0.841,0.63,12.844,12.8,0.572,0.599,1.0,0.97,22.0,110.0,91.67,109.0,0.55,22025,1610612740,NOP,New Orleans Pelicans,0022500289,2025-11-24,NOP vs. CHI,W,240,143,53,104,0.51,13,35,0.371,24,35,0.686,19,36,55,28,13,5,10,21,13.0
Memphis Grizzlies,22500065,1610612740,New Orleans,Pelicans,NOP,pelicans,158:45,27,59,0.458,7,20,0.35,6,6,1.0,5,18,23,24,6,4,9,8,67,Starters,587.2,117.4,604.5,120.9,-17.4,-3.5,0.68,2.27,21.8,0.25,0.717,0.469,13.761,13.8,0.589,0.607,1.0,0.967,19.83,99.17,82.64,109.0,0.463,22025,1610612740,NOP,New Orleans Pelicans,0022500065,2025-11-26,NOP vs. MEM,L,264,128,50,101,0.495,19,45,0.422,9,10,0.9,10,30,40,34,10,9,14,18,-5.0
Golden State Warriors,22500298,1610612740,New Orleans,Pelicans,NOP,pelicans,146:53,23,59,0.39,6,21,0.286,17,24,0.708,4,23,27,10,5,1,9,13,69,Starters,510.6,102.1,547.4,109.5,-36.7,-7.3,0.5,1.23,12.2,0.362,0.661,0.509,13.83,13.8,0.413,0.475,1.0,0.991,18.9,94.5,78.75,94.0,0.429,22025,1610612740,NOP,New Orleans Pelicans,0022500298,2025-11-29,NOP @ GSW,L,240,96,32,86,0.372,7,30,0.233,25,34,0.735,16,34,50,16,7,2,13,21,-8.0
Los Angeles Lakers,22500308,1610612740,New Orleans,Pelicans,NOP,pelicans,145:39,30,62,0.484,7,12,0.583,16,20,0.8,6,27,33,15,3,0,5,14,83,Starters,611.1,122.2,671.7,134.3,-60.6,-12.1,0.5,2.88,17.0,0.265,0.673,0.469,8.081,8.1,0.577,0.606,1.0,0.973,19.8,99.0,82.5,99.0,0.431,22025,1610612740,NOP,New Orleans Pelicans,0022500308,2025-11-30,NOP @ LAL,L,239,121,46,91,0.505,13,26,0.5,16,20,0.8,8,32,40,23,6,1,8,27,-12.0
Minnesota Timberwolves,22500321,1610612740,New Orleans,Pelicans,NOP,pelicans,174:03,35,66,0.53,5,13,0.385,28,32,0.875,5,28,33,19,2,1,8,12,103,Starters,639.6,127.9,665.2,133.0,-25.5,-5.1,0.52,2.0,17.9,0.22,0.736,0.511,11.712,11.7,0.615,0.667,1.0,0.983,20.2,100.98,84.15,111.0,0.495,22025,1610612740,NOP,New Orleans Pelicans,0022500321,2025-12-02,NOP vs. MIN,L,266,142,50,91,0.549,12,21,0.571,30,35,0.857,6,36,42,26,5,1,12,23,-7.0
Minnesota Timberwolves,22500337,1610612740,New Orleans,Pelicans,NOP,pelicans,163:32,32,72,0.444,2,15,0.133,22,24,0.917,7,20,27,25,8,0,6,11,88,Starters,527.3,105.5,558.0,111.6,-30.8,-6.2,0.674,2.42,19.5,0.189,0.692,0.438,10.909,10.9,0.489,0.545,1.0,1.0,22.2,111.0,92.5,110.0,0.486,22025,1610612740,NOP,New Orleans Pelicans,0022500337,2025-12-04,NOP vs. MIN,L,241,116,43,95,0.453,7,25,0.28,23,26,0.885,8,35,43,29,11,2,12,22,-9.0
