PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN
Lindy Waters III,1610612759,SAS,28,6.8
Lonzo Ball,1610612739,CLE,35,20.8
Luguentz Dort,1610612760,OKC,45,27.7
Luka Dončić,1610612747,LAL,42,35.5
Luka Garza,1610612738,BOS,45,16.7
Luke Kennard,1610612747,LAL,50,20.8
Luke Kornet,1610612759,SAS,44,22.9
Luke Travers,1610612739,CLE,12,8.6
Mac McClung,1610612741,CHI,4,11.8
Malaki Branham,1610612764,WAS,28,9.8
Malevy Leons,1610612744,GSW,5,4.2
Malik Monk,1610612758,SAC,43,22.2
MarJon Beauchamp,1610612755,PHI,2,18.1
Marcus Sasser,1610612765,DET,17,9.8
Marcus Smart,1610612747,LAL,44,28.4
Mark Sears,1610612749,MIL,7,3.7
Mark Williams,1610612756,PHX,50,24.0
Marvin Bagley III,1610612742,DAL,41,19.5
Mason Plumlee,1610612766,CHA,14,8.9
Matas Buzelis,1610612741,CHI,55,28.3
Matisse Thybulle,1610612757,POR,4,12.2
Max Christie,1610612742,DAL,50,29.7
Max Shulga,1610612738,BOS,1,1.7
Maxi Kleber,1610612747,LAL,29,11.5
Maxime Raynaud,1610612758,SAC,48,23.5
Micah Peavy,1610612740,NOP,46,15.1
Micah Potter,1610612754,IND,22,18.5
Michael Porter Jr.,1610612751,BKN,41,33.0
Mikal Bridges,1610612752,NYK,55,34.5
Mike Conley,1610612750,MIN,44,18.5
Miles Bridges,1610612766,CHA,53,32.2
Miles Kelly,1610612742,DAL,12,8.5
Miles McBride,1610612752,NYK,35,28.0
Mitchell Robinson,1610612752,NYK,39,19.6
Mo Bamba,1610612761,TOR,2,2.9
Mohamed Diawara,1610612752,NYK,45,7.1
Monte Morris,1610612754,IND,6,10.8
Moritz Wagner,1610612753,ORL,13,12.0
Moses Moody,1610612744,GSW,53,25.1
Mouhamed Gueye,1610612737,ATL,53,16.3
Moussa Cisse,1610612742,DAL,30,12.0
Moussa Diabaté,1610612766,CHA,50,25.2
Myles Turner,1610612749,MIL,50,28.6
Myron Gardner,1610612748,MIA,26,9.8
N'Faly Dante,1610612737,ATL,4,3.9
Nae'Qwan Tomlin,1610612739,CLE,44,17.1
Naji Marshall,1610612742,DAL,53,29.6
Naz Reid,1610612750,MIN,56,26.2
Neemias Queta,1610612738,BOS,51,25.1
Nic Claxton,1610612751,BKN,50,29.3
Nick Richards,1610612741,CHI,31,10.3
Nick Smith Jr.,1610612747,LAL,25,12.7
Nickeil Alexander-Walker,1610612737,ATL,54,33.2
Nicolas Batum,1610612746,LAC,51,19.4
Nigel Hayes-Davis,1610612756,PHX,27,7.2
Nikola Jokić,1610612743,DEN,39,34.3
Nikola Jović,1610612748,MIA,44,17.9
Nikola Topić,1610612760,OKC,1,12.4
Nikola Vučević,1610612738,BOS,51,30.6
Nique Clifford,1610612758,SAC,52,21.3
Noa Essengue,1610612741,CHI,2,3.0
Noah Clowney,1610612751,BKN,47,28.4
Noah Penda,1610612753,ORL,38,13.7
Nolan Traore,1610612751,BKN,31,21.0
Norman Powell,1610612748,MIA,45,30.6
OG Anunoby,1610612752,NYK,41,33.0
Obi Toppin,1610612754,IND,3,27.4
Ochai Agbaji,1610612751,BKN,43,15.5
Olivier-Maxence Prosper,1610612763,MEM,29,13.7
Onyeka Okongwu,1610612737,ATL,50,31.9
Orlando Robinson,1610612753,ORL,4,6.2
Oscar Tshiebwe,1610612762,UTA,3,9.9
Oso Ighodaro,1610612756,PHX,55,20.0
Ousmane Dieng,1610612749,MIL,30,12.0
P.J. Washington,1610612742,DAL,39,30.7
PJ Hall,1610612766,CHA,16,10.7
Pacôme Dadiet,1610612752,NYK,20,3.4
Paolo Banchero,1610612753,ORL,43,34.5
Pascal Siakam,1610612754,IND,51,33.8
Pat Connaughton,1610612766,CHA,22,7.1
Pat Spencer,1610612744,GSW,39,15.6
Patrick Baldwin Jr.,1610612755,PHI,3,4.9
Patrick Williams,1610612741,CHI,51,19.2
Paul George,1610612755,PHI,27,30.5
Paul Reed,1610612765,DET,38,12.8
Payton Pritchard,1610612738,BOS,53,32.7
Pelle Larsson,1610612748,MIA,45,23.9
Pete Nance,1610612749,MIL,23,10.7
Peyton Watson,1610612743,DEN,49,30.7
Precious Achiuwa,1610612758,SAC,48,20.3
Quentin Grimes,1610612755,PHI,48,29.9
Quenton Jackson,1610612754,IND,26,15.9
Quinten Post,1610612744,GSW,55,17.0
RJ Barrett,1610612761,TOR,31,29.5
Rasheer Fleming,1610612756,PHX,30,7.0
RayJ Dennis,1610612737,ATL,15,11.8
Rayan Rupert,1610612757,POR,48,12.0
Reed Sheppard,1610612745,HOU,53,24.7
Riley Minix,1610612759,SAS,3,2.8
Rob Dillingham,1610612741,CHI,38,10.5
Robert Williams III,1610612757,POR,38,16.3
Ron Harper Jr.,1610612738,BOS,10,10.6
Ronald Holland II,1610612765,DET,49,20.7
Royce O'Neale,1610612756,PHX,55,29.3
Rudy Gobert,1610612750,MIN,54,31.3
Rui Hachimura,1610612747,LAL,44,29.9
Russell Westbrook,1610612758,SAC,52,29.3
Ryan Dunn,1610612756,PHX,48,19.5
Ryan Kalkbrenner,1610612766,CHA,43,22.9
Ryan Nembhard,1610612742,DAL,38,18.8
Ryan Rollins,1610612749,MIL,51,32.0
Saddiq Bey,1610612740,NOP,49,30.5
Sam Hauser,1610612738,BOS,51,24.1
Sam Merrill,1610612739,CLE,31,25.3
Sandro Mamukelashvili,1610612761,TOR,53,22.6
Santi Aldama,1610612763,MEM,43,27.9
Scoot Henderson,1610612757,POR,4,20.0
Scottie Barnes,1610612761,TOR,54,34.4
Scotty Pippen Jr.,1610612763,MEM,3,20.0
Seth Curry,1610612744,GSW,2,16.0
Shaedon Sharpe,1610612757,POR,48,30.0
Shai Gilgeous-Alexander,1610612760,OKC,49,33.3
Sharife Cooper,1610612764,WAS,12,14.2
